Timestamp,Traffic
2019-03-22 15:00:00,1096881512
2019-03-22 16:00:00,1183334291
2019-03-22 17:00:00,1190723408
2019-03-22 18:00:00,1317422459
2019-03-22 19:00:00,1307838840
2019-03-22 20:00:00,1464084396
2019-03-22 21:00:00,1418031734
2019-03-22 22:00:00,1365699533
2019-03-22 23:00:00,1300743834
2019-03-23 00:00:00,734418711
2019-03-23 01:00:00,676108775
2019-03-23 02:00:00,379341641
2019-03-23 03:00:00,319166164
2019-03-23 04:00:00,192048229
2019-03-23 05:00:00,245204208
2019-03-23 06:00:00,175802760
2019-03-23 07:00:00,303917225
2019-03-23 08:00:00,545273330
2019-03-23 09:00:00,910473375
2019-03-23 10:00:00,1044787606
2019-03-23 11:00:00,1173204429
2019-03-23 12:00:00,1122054954
2019-03-23 13:00:00,1177267547
2019-03-23 14:00:00,1154917351
2019-03-23 15:00:00,1068396761
2019-03-23 16:00:00,1243622486
2019-03-23 17:00:00,1236132875
2019-03-23 18:00:00,1308540222
2019-03-23 19:00:00,1234180300
2019-03-23 20:00:00,1182576676
2019-03-23 21:00:00,1390027109
2019-03-23 22:00:00,1333759499
2019-03-23 23:00:00,1336608951
2019-03-24 00:00:00,738714841
2019-03-24 01:00:00,658895365
2019-03-24 02:00:00,426067434
2019-03-24 03:00:00,293472703
2019-03-24 04:00:00,274268030
2019-03-24 05:00:00,150713990
2019-03-24 06:00:00,144973259
2019-03-24 07:00:00,211458789
2019-03-24 08:00:00,478250167
2019-03-24 09:00:00,627473066
2019-03-24 10:00:00,856694602
2019-03-24 11:00:00,912482623
2019-03-24 12:00:00,1204783586
2019-03-24 13:00:00,1131597218
2019-03-24 14:00:00,1052095860
2019-03-24 15:00:00,991261367
2019-03-24 16:00:00,992682572
2019-03-24 17:00:00,1071804261
2019-03-24 18:00:00,1260347124
2019-03-24 19:00:00,1396574760
2019-03-24 20:00:00,1271974859
2019-03-24 21:00:00,1308792529
2019-03-24 22:00:00,1175487240
2019-03-24 23:00:00,1211587806
2019-03-25 00:00:00,569723208
2019-03-25 01:00:00,610828764
2019-03-25 02:00:00,367398201
2019-03-25 03:00:00,281478685
2019-03-25 04:00:00,111016442
2019-03-25 05:00:00,140168464
2019-03-25 06:00:00,170318025
2019-03-25 07:00:00,495998535
2019-03-25 08:00:00,925399182
2019-03-25 09:00:00,830519094
2019-03-25 10:00:00,802354348
2019-03-25 11:00:00,919390937
2019-03-25 12:00:00,1045048123
2019-03-25 13:00:00,1222940726
2019-03-25 14:00:00,940314691
